STOCK NUMBER,STOCK CODE,STOCK NAME,WEBLINK,PRICE
0179,BIOA,Bioalpha,bioalpha-holdings-bhd,0.095
7243,IMPI,Impiana Hotels,bio-osmo-bhd,0.05
5248,BERA,Bermaz Auto,berjaya-auto-bhd,1.99
5196,BJFO,Berjaya Food,berjaya-food-bhd,0.715
6998,BKCB,Bintai Kinden Corp,bintai-kinden-corporation-bhd,0.07
7187,CHIN,Chin Hin Property,boon-koon-group-bhd,1.0
4219,BLAD,Berjaya Land,berjaya-land-bhd,0.275
5069,BLDN,BLD Plantation,bld-plantation-bhd,10.54
0168,BOIL,Boilermech,boilermech-holdings-bhd,0.75
9288,BONI,Bonia Corp,bonia-corporation-bhd,1.77
5254,BOPL,Boustead Plantations,boustead-plantations-bhd,1.08
9938,BPAC,Bright Packaging,bright-packaging-industry-bhd,0.17
6297,BPAK,Box Pak,box-pak-(malaysia)-bhd,0.855
5032,BPOT,Bintulu Port,bintulu-port-holdings-bhd,5.05
5100,BPPL,BP Plastics,bp-plastics-holding-bhd,1.21
5932,BPUR,Bina Puri,bina-puri-holdings-bhd,0.035
7036,BRNL,Borneo Oil,borneo-oil-bhd,0.015
7221,BSLC,BSL Corp,bsl-corp-bhd,0.04
1899,BTKW,Batu Kawan,batu-kawan-bhd,20.96
7188,BTMR,BTM Resources,btm-resources-bhd,0.095
7174,CABC,CAB Cakaran Corp,cab-cakaran-corporation-bhd,0.655
7154,CLAS,Classita Holdings Bhd,caely-holdings-bhd,0.15
7076,CBIP,CB Industrial Product,cb-industrial-product-holding,1.1
7148,DUOP,Duopharma Biotech,ccm-duopharma-biotech-bhd,1.31
7209,CETH,Cheetah,cheetah-holdings-bhd,0.125
8044,CFMS,Computer Forms,computer-forms-(malaysia)-bhd,0.17
9423,CWGH,CWG Holdings Bhd,chee-wah-corp-bhd,0.325
5738,CHHB,Country Heights,country-heights-holdings-bhd,0.37
5797,CHOO,Choo Bee Metal Ind,choo-bee-metal-industries-bhd,0.92
7016,CHRB,Chuan Huat Res,chuan-huat-resources-bhd,0.44
8052,CENT,Central Industrial,central-industrial-corp,1.8
2828,CIHB,CI,ci-holdings-bhd,3.18
7018,CMEG,CME,cme-group-bhd,0.025
7195,CMNL,Comintel Corp,comintel-corporation-bhd,0.865
2852,CMSM,Cahya Mata Sarawak,cahya-mata-sarawak-bhd,1.04
7986,CNAC,CN Asia Corp,cn-asia-corporation-bhd,0.18
5104,CITR,Citra Nusa Holdings Bhd,cni-holdings-bhd,0.06
5105,CNON,Can One,can-one-bhd,2.89
5195,CNSH,Censof,censof-holdings-bhd,0.225
8435,CONC,Concrete Engineering,concrete-engineering-products,0.935
5188,COWH,China Ouhua Winery,china-ouhua-winery-holdings,0.055
5037,CPGT,Compugates,compugates-holdings-bhd,0.01
5136,HEXE,Hextar Tech Solutions Bhd,complete-logistic-services-bhd,26.5
8982,CPWA,Cepatwawasan,cepatwawasan-group-bhd,0.71
6718,CREC,Crescendo Corp,crescendo-corporation-bhd,1.42
8591,CREH,Crest Builder,crest-builder-holdings-bhd,0.475
7128,CRSM,CAM Resources,cam-resources-bhd,0.4
7202,CSCB,Classic Scenic,classic-scenic-bhd,0.43
5094,CSTH,CSC Steel,csc-steel-holdings-bhd,1.15
5071,CTAL,Coastal Contracts,coastal-contracts-bhd,2.15
7117,CJCE,CJ Century Logistics,century-logistics-holdings-bhd,0.435
1929,CTPB,Chin Teck Plantations,chin-teck-plantations-bhd,7.82
0051,CUSC,Cuscapi Berhad,cuscapi-berhad,0.19
5049,CVIE,Country View,country-view-bhd,0.98
5007,CWHB,Chin Well,chin-well-holdings-bhd,1.42
7157,CYLC,CYL Corp,cyl-corporation-bhd,0.525
5184,CYPR,Cypark Res Berhad,cypark-resources-berhad,0.805
8338,DATA,Dataprep,dataprep-holdings-bhd,0.175
0091,PROE,Propel Global Bhd,daya-materials-bhd,0.175
7179,LAGE,Lagenda Properties Bhd,d.b.e.-gurney-resources-bhd,1.17
5908,DELM,DKSH Malaysia Berhad,dksh-holdings-malaysia-berhad,4.91
7212,DEST,Destini,destini-bhd,0.085
8176,ATAI,ATA IMS,denko-industrial-corporation,0.25
0174,EVDB,Evd Bhd,idimension-consolidated-bhd,0.16
7528,DKLS,DKLS Industries,dkls-industries-bhd,2.16
5132,DLEU,Deleum,deleum-bhd,0.9
7114,DNCE,Dnonce Tech,dnonce-tech-bhd,0.14
4456,DNEX,Dagang Nexchange,dagang-nexchange-bhd,0.465
7169,DOMN,Dominant Enterprise,dominant-enterprise-bhd,0.745
7204,DOVT,D O Green Tech,d-o-green-technologies-bhd,3.98
8125,SCIE,Scientex Packaging,daibochi-plastic-packaging,2.3
7198,DPSS,DPS Resources,dps-resources-bhd,0.41
5216,DSON,Datasonic,datasonic-group-bhd,0.44
7233,DUFU,Dufu Tech Corp,dufu-tech-corp-bhd,1.9
3948,DUTA,Dutaland,dutaland-bhd,0.295
154,EAHL,EA,ea-holdings-bhd,0.005
2097,METB,Meta Bright Bhd,eastland-equity-bhd,0.175
64,ECES,Efficient E Solutions,efficient-e-solutions-bhd,0.18
2143,ECMI,ECM Libra Financial,ecm-libra-financial-group-bhd,0.205
3557,ECOF,EcoFirst Cons,ecofirst-consolidated-bhd,0.345
8206,ECOW,Eco World Develop,eco-world-develop-group,0.88
5162,VSTE,ECS ICT,ecs-ict-bhd,1.33
7471,EDEN,Eden Inc,eden-inc-bhd,0.17
8907,EGCM,Eg Industries,eg-industries-bhd,1.61
8877,EKOV,Ekovest,ekovest-bhd,0.385
9016,EKSN,Eksons Corp,eksons-corp-bhd,0.515
9091,EMIC,Emico,emico-holdings-bhd,0.29
6076,ENCR,Encorp,encorp-bhd,0.27
7149,ENGH,Eng Kah Corp,eng-kah-corporation-bhd,0.4
7217,EONM,Eonmetall,eonmetall-group-bhd,0.54
7773,EPMB,EP Manufacturing,ep-manufacturing-bhd,0.875
7208,ERHB,Euro,euro-holdings-bhd,0.08
7094,ESAN,Eurospan,eurospan-holdings-bhd,1.15
5205,ESCB,Eversendai Corp,eversendai-corporation-bhd,0.15
5081,ESTH,Esthetics Int,esthetics-international-group,0.355
5056,ETEX,Engtex,engtex-group-bhd,0.6
118,TRIV,Trive Property Group,eti-tech-corporation-bhd,0.065
6815,EUPE,Eupe Corp,eupe-corporation-bhd,0.83
5101,EVGN,Evergreen Fibreboard,evergreen-fibreboard-bhd,0.285
7249,EWEI,Ewein,ewein-bhd,1.3
0065,EXFM,Excel Force MSC,excel-force-msc-bhd,0.395
2984,FACN,FACB Industries,facb-industries-incorporated,1.43
7047,FAJA,Fajarbaru Builder,fajarbaru-builder-group-bhd,0.29
2755,FCWH,FCW,fcw-holdings-bhd,1.03
5029,FEHS,Far East,far-east-holdings-bhd,3.66
8605,FIHB,Federal International,federal-furniture-holdings-m,0.595
6939,FIAM,Fiamma,fiamma-holdings-bhd,0.925
149,FIBN,Fibon,fibon-bhd,0.485
3107,FIMA,Fima Corp,fima-corporation-bhd,1.93
9318,FITT,Fitters Diversified,fitters-diversified-bhd,0.035
6041,FLIM,Farlim,farlim-group-(malaysia)-bhd,0.23
9776,SINM,Sinmah Capital,farms-best-bhd,0.115
7210,FMHB,FM Global Logistics Holdings Bhd,freight-management-holdings,0.55
5197,FOLU,Focus Lumber,focus-lumber-bhd,0.49
9172,FPIB,Formosa Prosonic,formosa-prosonic-industries,2.58
3689,FRAS,Fraser Neave,fraser-neave-holdings-bhd,24.9
0128,FRKN,Frontken Corp,frontken-corporation-bhd,3.36
9377,FUJI,FSBM,fsbm-holdings-bhd,0.26
7161,KREJ,Kerjaya Prospek,fututech-bhd,1.1
7229,FVCO,Favelle Favco,favelle-favco-bhd,1.77
9261,GADA,Gadang,gadang-holdings-bhd,0.325
3611,PARA,Paragon Globe Bhd,goh-ban-huat-bhd,0.26
0078,GDEX,GD Express Carrier,gd-express-carrier-bhd,0.19
7197,GESH,Ge Shen Corp,ge-shen-corporation-bhd,1.44
0021,GHLS,GHL Systems,ghl-systems-bhd,0.815
7010,PTTY,PTT Synergy Bhd,grand-hoover-bhd,1.04
3204,GKMS,George Kent,george-kent-(malaysia)-bhd,0.455
5606,IGBB,IGB,goldis-bhd,2.14
1147,GLOL,Global Oriental,global-oriental-bhd,0.225
5020,GLOM,Glomac,glomac-bhd,0.335
5220,GLOT,Globaltec Formation,globaltec-formation-bhd,0.485
9962,GMUT,Gromutual,gromutual-bhd,0.275
5102,GNCH,Guan Chong,guan-chong-bhd,2.14
7022,GNIC,Globetronics Tech,globetronics-tech-bhd,1.6
7382,GOLD,Golden Land,golden-land-bhd,0.235
2135,GOPK,Gopeng,gopeng-bhd,0.35
7096,JOEH,Joe Holding Bhd,gpa-holdings-bhd,0.015
0082,GRNP,Green Packet,green-packet-bhd,0.035
5649,GROS,Golden Pharos,golden-pharos-bhd,0.29
7077,KERA,Kerjaya Prospek Property Bhd,gsb-group-bhd,0.675
3247,GUHB,GUH,guh-holdings-bhd,0.44
3255,HEIN,Heineken,guinness-anchor-bhd,26.5
7676,GCAP,G Capital Bhd,gunung-capital-bhd,0.42
1503,GUOL,GuocoLand,guocoland-(malaysia)-bhd,0.64
7192,GIIB,GIIB Holdings Bhd,goodway-integrated-industries,0.105
7668,BESH,Beshom Holdings Bhd,hai-o-enterprise-bhd,1.02
2062,HARR,Harbour Link,harbour-link-group-bhd,1.13
5187,HBGL,HB Global,hb-global-ltd,0.13
7105,HCKC,HCK Capital,hck-capital-group-bhd,2.13
7253,HDEB,Handal Resources,handal-resources-bhd,0.165
5028,HEIT,HeiTech Padu,heitech-padu-bhd,0.605
5095,HEVE,HeveaBoard,heveaboard-bhd,0.325
5169,HHCS,Ho Hup Construction,ho-hup-construction-company,0.27
8443,HILI,Hil Industries,hil-industries-bhd,0.995
7501,HLEN,Harn Len Corp,harn-len-corporation-bhd,0.735
5151,HEXT,Hextar Global,halex-holdings-bhd,0.8
3301,HLIB,Hong Leong Ind,hong-leong-industries-bhd,8.98
5165,DFCI,Dfcity Group Bhd,hock-heng-stone-industries-bhd,0.38
5160,HOME,Homeritz Corp,homeritz-corporation-bhd,0.47
9601,HOWA,Ho Wah Genting,ho-wah-genting-bhd,0.08
5024,HSIB,Hup Seng Industries,hup-seng-industries-bhd,0.675
5008,HSON,Harrisons,harrisons-holdings-(malaysia),8.85
5072,HTVE,Hiap Teck Venture,hiap-teck-venture-bhd,0.33
5062,HUAY,Hua Yang,hua-yang-bhd,0.295
7013,HUBE,HUBLine,hubline-bhd,0.04
5000,HUMC,Hume Industries,hume-industries-bhd,1.58
8478,HWAT,Hwa Tai Industries,hwa-tai-industries-bhd,0.505
3298,HXZS,Hexza Corp,hexza-corporation-bhd,0.855
4251,IBHD,I Bhd,i-bhd,0.245
5084,IBRC,Ibraco,ibraco-bhd,0.605
2607,IKEN,Inch Kenneth Kajang Rubber,inch-kenneth-kajang-rubber-plc,0.415
5614,ILBG,ILB Bhd,integrated-logistics-bhd,0.45
7222,IMSP,Imaspro Corp,imaspro-corporation-bhd,5.09
0166,INAR,Inari Amertron,inari-amertron-bhd,3.1
9393,INDU,Industronics,industronics-bhd,0.04
6262,INNO,Innoprise Plantations,innoprise-plantations-bhd,1.34
3379,INSS,Insas,insas-bhd,0.83
5249,IOIP,IOI Properties,ioi-properties-group-bhd,1.24
5673,JENT,Jentayu Sustainables Bhd,ipmuda-bhd,1.02
5107,IQGH,IQ,iq-group-holdings-bhd,0.84
7183,IQZA,Iqzan Holding,ire-tex-corporation-bhd,0.025
8834,IRKA,Ireka Corp,ireka-corporation-bhd,0.49
2127,COMF,Comfort Gloves,integrated-rubber-corporation,0.375
9687,IDEA,Ideal United Bintang,ideal-united-bintang-bhd,2.0
5175,IVRY,Ivory Properties,ivory-properties-group-bhd,0.08
1589,IWCI,Iskandar Waterfront City,iskandar-waterfront-city-bhd,0.385
7223,JADI,Jadi Imaging,jadi-imaging-holdings-bhd,0.025
4723,JAKS,JAKS Resources,jaks-resources-bhd,0.195
7152,JAYC,Jaycorp,jaycorp-bhd,0.695
8931,JERA,Jerasia Capital,jerasia-capital-bhd,0.005
9083,JETS,Kumpulan Jetson,kumpulan-jetson-bhd,0.205
3441,JHHS,Johan,johan-holdings-bhd,0.055
7167,ABLE,Able Global,johore-tin-bhd,1.28
8923,JIAN,Jiankun Int,jiankun-international-bhd,0.185
8648,JKBM,Jasa Kita,jasa-kita-bhd,0.12
7043,JADE,Jade Marvel Bhd,jmr-conglomeration-bhd,0.185
0058,JCBN,JCBNext Berhad,jobstreet-corporation-bhd,1.4
4383,JTIA,Jaya Tiasa,jaya-tiasa-holdings-bhd,0.715
5079,ONEG,One Glove Bhd,kbes-bhd,0.25
2186,KCDS,Kuchai Develop,kuchai-develop-bhd,1.3
7323,KENH,Ken,ken-holdings-bhd,0.525
9334,KESM,KESM Industries,kesm-industries-bhd,7.41
3565,WCEH,WCE Holdings,kumpulan-europlus-bhd,0.685
6491,KFIM,Kumpulan Fima,kumpulan-fima-bhd,2.1
8303,LOTU,Lotus KFM Bhd,kuantan-flour-mills-bhd,0.275
6203,KHEE,Khee San,khee-san-bhd,0.13
7062,KHIN,Khind,khind-holdings-bhd,2.67
5171,KICB,Kimlun Corp,kimlun-corporation-bhd,0.725
5027,KIML,Kim Loong Resources,kim-loong-resources-bhd,1.84
6769,JKGL,JKG Land,keladi-maju-bhd,0.1
2453,KLRK,Kluang Rubber,kluang-rubber-company-malaya,3.73
8672,KMDA,Kamdar,kamdar-group-(m)-bhd,0.24
6483,KNNK,K N Kenanga,k-n-kenanga-holdings-bhd,0.895
5035,KNUS,Knusford,knusford-bhd,0.65
6971,KOBA,Kobay Tech,kobay-tech-bhd,1.95
0002,KOIN,Kotra Industries,kotra-industries-bhd,5.11
5843,KPSB,Kumpulan Perangsang Selangor,kumpulan-perangsang-selangor,0.695
9121,KPSC,KPS Consortium,kps-consortium-bhd,0.59
1996,KREK,Kretam,kretam-holdings-bhd,0.605
5038,KSLH,KSL,ksl-holdings-bhd,0.835
5192,KSSC,K Seng Seng Corp,k-seng-seng-corporation-bhd,1.2
4847,KSTM,Epicon Bhd,konsortium-transnasional-bhd,0.225
5172,SINA,Sinaran Advance Bhd,k-star-sports-ltd,0.05
6874,KUBM,KUB Malaysia,kub-malaysia-bhd,0.525
7216,KWNF,Kawan Food,kawan-food-bhd,1.82
0143,KYAC,Key ASIC,key-asic-bhd,0.075
3174,LAND,Land General,land-general-bhd,0.115
9385,LAYH,Lay Hong,lay-hong-bhd,0.3
8494,LBIP,LBI Capital,lbi-capital-bhd,0.52
5789,LBSB,LBS Bina,lbs-bina-group-bhd,0.475
5143,LCBH,Luxchem Corp,luxchem-corporation-bhd,0.455
7943,MPIR,Mpire Global Bhd,len-cheong-holding-bhd,0.15
9628,LEBT,Lebtech,lebtech-bhd,0.79
5232,LEON,Leon Fuat,leon-fuat-bhd,0.515
7170,LFEC,LFE Corp,lfe-corporation-bhd,0.145
3573,LHCK,Lien Hoe Corp,lien-hoe-corporation-bhd,0.28
7089,LHEN,Lii Hen Industries,lii-hen-industries-bhd,0.84
8079,LHTM,Lee Swee Kiat,lee-swee-kiat-group-bhd,0.815
8486,LIOP,Lion Forest Ind,lion-forest-industries-bhd,0.44
8621,LOND,LPI Capital,lpi-capital-bhd,11.8
7006,RHOG,Rhong Khen International Bhd,latitude-tree-holdings-bhd,1.26
7085,LTKM,LTKM,ltkm-bhd,1.48
1198,MAAS,MAA,maa-group-bhd,0.315
5166,MIND,Cyberjaya Education Bhd,masterskill-education-group,0.125
7617,MAGN,Magna Prima,magna-prima-bhd,0.42
0156,MANS,Managepay Systems,managepay-systems-bhd,0.145
7087,MATE,Magni Tech Ind,magni-tech-industries-bhd,1.89
5236,MATR,Matrix Concepts,matrix-concepts-holdings-bhd,1.38
0167,MCLN,MClean Technologies,mclean-technologies-bhd,0.125
5182,AVAL,Avaland Bhd,gw-plastics-holdings-bhd,0.19
5040,MERI,Meridian,meda-inc-bhd,0.08
3069,MEGA,Mega First Corp,mega-first-corporation-bhd,3.21
5129,MEHB,Melati Ehsan,melati-ehsan-holdings-bhd,0.52
7889,THRI,Thriven Global,mulpha-land-bhd,0.11
5006,STEL,Stella Holdings Bhd,merge-energy-bhd,0.785
6114,METR,MKH,mkh-bhd,1.31
3662,MFMS,Malayan Flour Mills,malayan-flour-mills-bhd,0.62
0155,MGRC,Malaysian Genomics,malaysian-genomics-resource,0.455
4936,MHBS,Malpac,malpac-holdings-bhd,0.88
5026,MHCP,MHC Plantations,mhc-plantations-bhd,0.92
7935,MILU,Milux Corp,milux-corporation-bhd,0.58
9571,MITR,Mitrajaya,mitrajaya-holdings-bhd,0.28
8141,MJPR,Majuperak,majuperak-holdings-bhd,0.36
8893,MKLH,M K Land,m-k-land-holdings-bhd,0.175
6181,MLTO,Malton,malton-bhd,0.41
1694,MNCS,Menang Corp,menang-corporation-(m)-bhd,0.765
5011,MNGA,Mesiniaga,mesiniaga-bhd,1.2
1058,MNLF,Manulife,manulife-holdings-bhd,1.86
6459,MNRB,MNRB,mnrb-holdings-bhd,0.98
5237,MPHB,MPHB Capital,mphb-capital-bhd,1.04
3867,MPIM,Malaysian Pacific Ind,malaysian-pacific-industries,30.02
3514,MRHB,Marco,marco-holdings-bhd,0.22
5202,MSMH,MSM Malaysia,msm-malaysia-holdings-bhd,1.13
7029,MSTP,Master Pack,master-pack-group-bhd,2.64
5703,MUHI,Muhibbah Engineering,muhibbah-engineering-m-bhd,0.68
3913,MUIP,MUI Properties,mui-properties-bhd,0.18
0138,MYEG,MY EG Services,my-eg-services-bhd,0.74
5073,NCHB,Naim,naim-holdings-bhd,0.765
4707,NESM,Nestle,nestle-(malaysia)-bhd,131.8
7060,NHFH,New Hoong Fatt,new-hoong-fatt-holdings-bhd,2.79
7215,NHSN,Ni Hsin Resources,ni-hsin-resources-bhd,0.125
7139,NICH,Niche Capital Emas,niche-capital-emas-holdings,0.155
2038,NSOS,Negri Sembilan Oil Palms,negri-sembilan-oil-palms-bhd,3.45
5066,NTPM,NTPM,ntpm-holdings-bhd,0.405
0083,NVTE,Notion Vtec,notion-vtec-bhd,0.305
0049,OCEA,Oceancash Pacific,oceancash-pacific-bhd,0.3
7107,OFIH,Oriental Food Ind,oriental-food-industries-hold,1.08
5827,OINT,Oriental Interest,oriental-interest-bhd,1.17
9008,OMES,Omesti,omesti-bhd,0.37
0035,OPCM,OPCOM,opcom-holdings-bhd,0.77
4006,OTLS,Oriental,oriental-holdings-bhd,6.4
6009,PACO,Pacific Orient,pacific-orient-bhd,1.02
0041,HONG,Hong Seng Consolidated Bhd,panpages-bhd,0.085
5022,PAOS,Paos,paos-holdings-bhd,0.25
6068,PCCS,PCCS,pccs-group-bhd,0.41
6912,PDEC,Pasdec,pasdec-holdings-bhd,0.31
5231,PELK,Pelikan Int,pelikan-international-corp,0.815
9407,PGON,Paragon Union,paragon-union-bhd,2.76
7088,PHUA,Poh Huat Resources,poh-huat-resources-holdings,1.3
9598,PINT,Pintaras Jaya,pintaras-jaya-bhd,1.71
1902,PIPB,Pinehill Pacific,pinehill-pacific-bhd,0.345
7055,PLBE,PLB Engineering,plb-engineering-bhd,1.06
5075,PLET,Plenitude,plenitude-bhd,0.91
9695,PLSB,PLS Plantations,pls-plantations-bhd,0.95
7160,PMAS,Pentamaster Corp,pentamaster-corporation-bhd,5.29
4081,PMCS,Pan Malaysia Corp,pan-malaysia-corporation-bhd,0.195
3719,PMMY,Panasonic Manufacture,panasonic-manufacture-malaysia,20.02
5080,POHK,Poh Kong,poh-kong-holdings-bhd,0.855
7237,POWE,Power Root,power-root-bhd,2.0
8613,ENRA,Enra Group,perduren-(m)-bhd,0.585
1724,PRMS,Paramount Corp,paramount-corporation-bhd,0.91
5070,PRTO,Protasco,protasco-bhd,0.175
7145,AGES,Ageson Bhd,prinsiptek-corporation-bhd,0.03
3042,PTMR,Petron Refining,petron-malaysia-refining-marketing,4.62
7134,PWFC,PW Consolidated,pw-consolidated-bhd,0.735
8966,PXUS,Prolexus,prolexus-bhd,0.405
9296,REDI,RCE Capital Berhad,rce-capital-berhad,2.23
9946,REXI,Rex Industry,rex-industry-bhd,0.105
2542,RVWL,Riverview Rubber Estates,riverview-rubber-estates-bhd,3.59
9822,SAEG,Sam Engineering Equip,sam-engineering-equipment,4.8
5157,SAUD,Saudee,saudee-group-bhd,0.025
2569,SBRK,Sungei Bagan Rubber,sungei-bagan-rubber-malaya,3.35
