stock_number,stock_code,stock_name,weblink,price
5170,SACB,Sarawak Cable Bhd,sarawak-cable-bhd,0.08
5171,KICB,Kimlun Corp,kimlun-corporation-bhd,0.725
5172,SINA,Sinaran Advance Bhd,k-star-sports-ltd,0.05
5173,SHIN,Shin Yang Shipping Corporation Bhd,shin-yang-shipping-corporation-bhd,0.615
5175,IVRY,Ivory Properties,ivory-properties-group-bhd,0.08
5176,SUNW,Sunway Real Estate Invest Trust,sunway-real-estate-invest-trust,1.52
5178,INGE,Ingenieur Gudang Bhd,tatt-giap-group-bhd,0.115
5180,CAMA,CapitaLand Malaysia Mall,capitamalls-malaysia-trust,0.52
5182,AVAL,Avaland Bhd,gw-plastics-holdings-bhd,0.19
5183,PCGB,Petronas Chemicals,petronas-chemicals-group-bhd,6.5
5184,CYPR,Cypark Res Berhad,cypark-resources-berhad,0.805
5185,AFIN,AFFIN,affin-holdings-bhd,1.92
5186,MHEB,Malaysia Marine and Heavy Eng,malaysia-marine-heavy-engineering,0.58
5187,HBGL,HB Global,hb-global-ltd,0.13
5188,COWH,China Ouhua Winery,china-ouhua-winery-holdings,0.055
5190,BENL,Benalec,benalec-holdings-bhd,0.095
5191,TAMB,Tambun Indah Land,tambun-indah-land-bhd,0.91
5192,KSSC,K Seng Seng Corp,k-seng-seng-corporation-bhd,1.2
5195,CNSH,Censof,censof-holdings-bhd,0.225
5196,BJFO,Berjaya Food,berjaya-food-bhd,0.715
5197,FOLU,Focus Lumber,focus-lumber-bhd,0.49
5198,ABMF,ABM Fujiya,abm-fujiya-bhd,0.38
5199,HIBI,Hibiscus Petroleum BHD,hibiscus-petroleum-bhd,0.925
5200,UOAD,UOA Development,uoa-development-bhd,1.76
5202,MSMH,MSM Malaysia,msm-malaysia-holdings-bhd,1.13
5204,AWAN,Awanbiru Technology Bhd,prestariang-bhd,0.395
5205,ESCB,Eversendai Corp,eversendai-corporation-bhd,0.15
5207,SIAH,SBC Corp,sbc-corp-bhd,0.52
5208,EITA,EITA Resources,eita-resources-bhd,0.695
5209,GASM,Gas Malaysia,gas-malaysia-bhd,3.02
5210,BUAB,Bumi Armada,bumi-armada-bhd,0.535
5211,SWAY,Sunway,sunway-bhd,1.67
5211PA,SWAYq,Sunway Bhd,sunway-bhd-prf,1.6
5211WB,SWAY_ta,Sunway,sunway-berhad,0.32
5212,PREI,Pavilion REIT,pavilion-real-estate-inv-trust,1.23
5213,SNTO,Sentoria,sentoria-group-bhd,0.06
5216,DSON,Datasonic,datasonic-group-bhd,0.44
5218,SAEN,Sapura Energy,sapurakencana-petroleum-bhd,0.035
5219,PEIN,PESTECH Intl,pestech-international-bhd,0.295
5220,GLOT,Globaltec Formation,globaltec-formation-bhd,0.485
5222,FGVH,FGV Holdings Bhd,felda-global-ventures-holdings-bhd,1.43
5223,MENT,Mentiga Corporation Bhd,mentiga-corporation-bhd,0.435
5225,IHHH,IHH Healthcare,ihh-healthcare-bhd,5.85
5226,GAQR,Gabungan,gabungan-aqrs-bhd,0.31
5227,IGRE,IGB REIT,igb-real-estate-investment-trust,1.66
5228,ELKD,ELK-Desa Resources,elk-desa-resources-bhd,1.25
5230,TUNE,Tune Protect Group Bhd,tune-protect-group-bhd,0.405
5231,PELK,Pelikan Int,pelikan-international-corp,0.815
5232,LEON,Leon Fuat,leon-fuat-bhd,0.515
5235SS,KLCC,KLCC Property,klcc-prop-reits---stapled-sec,6.8
5236,MATR,Matrix Concepts,matrix-concepts-holdings-bhd,1.38
5237,MPHB,MPHB Capital,mphb-capital-bhd,1.04
5238,AIRX,AirAsia X,airasia-x-bhd,1.79
5239,TITI,Titijaya Land,titijaya-land-bhd,0.265
5242,SOIL,Solid Automotive,solid-automotive-bhd,0.185
5243,VELE,Velesto Energy,umw-oil-and-gas-corporation,0.23
5246,WPHB,Westports,westports-holdings-bhd,3.57
5247,KARE,Karex,karex,0.56
5248,BERA,Bermaz Auto,berjaya-auto-bhd,1.99
5249,IOIP,IOI Properties,ioi-properties-group-bhd,1.24
5250,SEVE,7 Eleven,7-eleven-malaysia-holdings-bhd,2.0
5252,SAHO,Sasbadi,sasbadi-holdings-bhd,0.205
5253,ECOH,Econpile,econpile-holdings-bhd,0.215
5254,BOPL,Boustead Plantations,boustead-plantations-bhd,1.08
5255,ICON,Icon Offshore,icon-offshore-bhd,0.07
5256,RESE,Reach Energy,reach-energy-bhd,0.035
5257,CARM,Carimin Petroleum,carimin-petroleum-bhd,0.855
5258,BIMB,Bank Islam Malaysia Bhd,bimb-holdings-bhd,2.1
5259,EATE,EA Technique M,ea-technique-m-bhd,0.16
5260,ONLY,Only World,only-world-group-holdings-bhd,0.565
5263,SCOG,Sunway Construction Group Bhd,sunway-construction-group-bhd,1.71
5264,MALA,Malakoff Corporation Bhd,malakoff-corporation-bhd,0.615
5265,DOLP,Dolphin International Bhd,dolphin-international-bhd,0.02
5267,XINW,Xin Hwa Holdings Bhd,xin-hwa-holdings-bhd,0.235
5268,TOPB,Top Builders Capital Bhd,ikhmas-jaya-group-bhd,0.02
5269,ALSA,Al-Salam Real Estate,al-salam-real-estate-investment,0.465
5270,RED,Red Sena Bhd,red-sena-bhd,0.505
5271,PECC,Pecca Group,pecca-group-bhd,1.05
5272,RANH,Ranhill Holdings,symphony-house-bhd,0.54
5273,CHIU,Chin Hin Bhd,chin-hin-group-bhd,4.27
5274,HLGC,Hong Leong Capital Bhd,hong-leong-capital-bhd,6.16
5275,MYNE,myNEWS,bison-consolidated-bhd,0.465
5276,DNCO,Dancomech,dancomech-holdings-bhd,0.41
5277,FOUN,FoundPac,foundpac-group-bhd,0.425
5278,RHON,Rhone Ma,rhone-ma-holdings-bhd,0.7
5279,SERB,Serba Dinamik,serba-dinamik-holdings-bhd,0.02
5280,KIPR,KIP REIT,kip-real-estate-investment-trust,0.9
5281,ADVN,Advancecon Holdings,advancecon-holdings-bhd,0.35
5283,ECOD,Eco World Intl,eco-world-international-bhd,0.615
5284,LOTT,Lotte Chemical,lotte-chemical-titan,1.24
5285,SIPL,Sime Darby Plantation,sime-darby-plantation,4.57
5286,MITE,MI Technovation,mi-equipment,1.57
5288,SIPR,Sime Darby Property,sime-darby-property,0.555
5289,TECB,Techbond,techbond-group,0.37
5291,HPMT,HPMT Holdings,hpmt-holdings-bhd,0.345
5292,UWCB,Uwc,uwc-bhd,3.42
5293,AMEE,AME Elite Consortium Bhd,ame-elite-consortium-bhd,1.36
5295,INNA,Innature Bhd,innature-bhd,0.6
5296,MRDI,Mr D I Y,mr-d-i-y-group-m-bhd,1.44
5297,TUJU,Tuju Setia Bhd,tuju-setia-bhd,0.2
5298,OMHO,OM Holdings,om-holdings?cid=1178743,1.77
5299,IGBC,IGB Commercial Real Estate Investment Trust Unt,igb-commercial-reit-unt,0.505
5300,YENH,Yenher Holdings Bhd,yenher-holdings-bhd,0.95
5301,CTOS,CTOS Digital Bhd,ctos-digital-bhd,1.39
5302,AURE,Aurelius Tech Bhd,aurelius-tech-bhd,2.5
5303,SWIF,Swift Haulage Bhd,swift-haulage-bhd,0.49
5305,SENH,Senheng New Retail Bhd,senheng-new-retail-bhd,0.37
5306,FARM,Farm Fresh Bhd,farm-fresh-bhd,1.1
5307,AMER,AME REIT Unt,ame-reit-unt,1.24
5308,SENG,Seng Fong Holdings Bhd,seng-fong-holdings-bhd,0.69
5309,ITMA,Itmax System Bhd,itmax-system-bhd,1.42
5310,KUMP,Kumpulan Kitacon Bhd,kumpulan-kitacon-bhd,0.67
5311,CAPE,Cape EMS Bhd,cape-ems-bhd,1.24
5313,RADU,Radium Dev Bhd,radium-dev-bhd,0.35
5315,SKYW,SkyWorld Dev Bhd,skyworld-dev-bhd,0.7
5316,MSTG,MST Golf Bhd,mst-golf-bhd,0.78
5318,DXNO,DXN Holdings Bhd,dxn-holdings-bhd,0.71
5347,TENA,Tenaga Nasional,tenaga-nasional-bhd,9.46
5371,KIMH,Kim Hin Industry Bhd,kim-hin-industry-bhd,0.45
5398,GAMU,Gamuda,gamuda-bhd,4.57
5401,TROP,Tropicana Corp,tropicana-corporation-bhd,1.29
5436,PSTM,Perusahaan Sadur Timah,perusahaan-sadur-timah,4.07
5517,SHGM,Shangri La Hotels Malaysia,shangri-la-hotels-malaysia-bhd,2.57
5533,OCBB,OCB Bhd,ocb-bhd,0.69
5568,APBS,APB Resources,apb-resources-bhd,2.29
5576,MNHO,Minho M Bhd,minho-m-bhd,0.295
5592,GRAN,Grand Central Enterprises,grand-central-enterprises-bhd,0.35
5606,IGBB,IGB,goldis-bhd,2.14
5614,ILBG,ILB Bhd,integrated-logistics-bhd,0.45
5622,PIMP,Pimpinan Eshan,triplc-bhd,1.38
5649,GROS,Golden Pharos,golden-pharos-bhd,0.29
5657,PRKN,Parkson,parkson-holdings-bhd,0.21
5665,STEE,Southern Steel Bhd,southern-steel-bhd,0.525
5673,JENT,Jentayu Sustainables Bhd,ipmuda-bhd,1.02
5681,PETR,Petronas Dagangan,petronas-dagangan-bhd,22.18
5703,MUHI,Muhibbah Engineering,muhibbah-engineering-m-bhd,0.68
5738,CHHB,Country Heights,country-heights-holdings-bhd,0.37
5789,LBSB,LBS Bina,lbs-bina-group-bhd,0.475
5789PA,LBSBq,LBS Bina Pref,lbs-bina,0.925
5797,CHOO,Choo Bee Metal Ind,choo-bee-metal-industries-bhd,0.92
5819,HLBB,Hong Leong Bank,hong-leong-bank-bhd,18.94
5827,OINT,Oriental Interest,oriental-interest-bhd,1.17
5843,KPSB,Kumpulan Perangsang Selangor,kumpulan-perangsang-selangor,0.695
5878,KPJH,KPJ Healthcare,kpj-healthcare-bhd,1.11
5908,DELM,DKSH Malaysia Berhad,dksh-holdings-malaysia-berhad,4.91
5916,MSCB,Malaysia Smelting,malaysia-smelting-corp,2.2
5932,BPUR,Bina Puri,bina-puri-holdings-bhd,0.035
5983,MBMR,MBM Resources,mbm-resources-bhd,3.45
6009,PACO,Pacific Orient,pacific-orient-bhd,1.02
6012,MXSC,Maxis,maxis-bhd,4.05
6017,SHLC,SHL Consolidated,shl-consolidated-bhd,2.0
6033,PGAS,Petronas Gas,petronas-gas-bhd,17.0
6041,FLIM,Farlim,farlim-group-(malaysia)-bhd,0.23
6068,PCCS,PCCS,pccs-group-bhd,0.41
6076,ENCR,Encorp,encorp-bhd,0.27
6084,STAR,Star Media Group Bhd,star-media-group-bhd,0.415
6114,METR,MKH,mkh-bhd,1.31
6139,TAKA,Syarikat Takaful,syarikat-takaful-malaysia-bhd,3.45
6149,MROD,Metrod Bhd,metrod-holdings-bhd,1.38
6173,BDBS,Bina Darulaman,bina-darulaman-bhd,0.285
6181,MLTO,Malton,malton-bhd,0.41
6203,KHEE,Khee San,khee-san-bhd,0.13
6211,KIAL,Kia Lim Bhd,kia-lim-bhd,0.34
6254,PDZH,PDZ Holdings Bhd,pdz-holdings-bhd,0.03
6262,INNO,Innoprise Plantations,innoprise-plantations-bhd,1.34
6297,BPAK,Box Pak,box-pak-(malaysia)-bhd,0.855
6351,AMWA,Amway,amway-(malaysia)-holdings-bhd,5.32
6378,WMGH,WMG Holdings Bhd,tekala-corporation-bhd,0.085
6399,ASTR,Astro Malaysia,astro-malaysia-holdings-bhd,0.515
6432,AFHB,Apollo Food,apollo-food-holdings-bhd,4.2
6459,MNRB,MNRB,mnrb-holdings-bhd,0.98
6483,KNNK,K N Kenanga,k-n-kenanga-holdings-bhd,0.895
6491,KFIM,Kumpulan Fima,kumpulan-fima-bhd,2.1
6521,SURI,Suria Capital Holdings Bhd,suria-capital-holdings-bhd,1.28
6556,ANNJ,Ann Joo Resources,ann-joo-resources-bhd,1.15
6556PA,ANNJq,Ann Joo Resources Pref,ann-joo-resources-bhd-pref,0.45
6599,AEOM,AEON Co,aeon-co-(m)-bhd,1.22
6602,BCBB,BCB,bcb-bhd,0.285
6633,LEOG,Leong Hup International Berhad,leong-hup-international-berhad,0.525
6637,PNEB,PNE PCB Bhd,pne-pcb-bhd,0.065
6645,LTKH,Lingkaran Trans Kota,lingkaran-trans-kota-holdings-bhd,0.51
6718,CREC,Crescendo Corp,crescendo-corporation-bhd,1.42
6742,YTLP,YTL Power Int,ytl-power-international-bhd,1.3
6769,JKGL,JKG Land,keladi-maju-bhd,0.1
6807,PNHB,Puncak Niaga,puncak-niaga-holdings-bhd,0.305
6815,EUPE,Eupe Corp,eupe-corporation-bhd,0.83
6874,KUBM,KUB Malaysia,kub-malaysia-bhd,0.525
6888,AXIA,Axiata,axiata-group-bhd,2.6
6904,SUBU,Subur Tiasa Holdings Bhd,subur-tiasa-holdings-bhd,0.87
6912,PDEC,Pasdec,pasdec-holdings-bhd,0.31
6939,FIAM,Fiamma,fiamma-holdings-bhd,0.925
6947,CELC,CelcomDigi Bhd,digi.com-bhd,4.43
6963,VSID,VS Industry Bhd,vs-industry-bhd,0.845
6971,KOBA,Kobay Tech,kobay-tech-bhd,1.95
6998,BKCB,Bintai Kinden Corp,bintai-kinden-corporation-bhd,0.07
7003,YGCB,Y&G Corp,y-g-corp-bhd,0.765
7004,MCEI,MCE Holdings,multi-code-electronics-industries,1.81
7005,BIGI,BIG Industries,big-industries-bhd,0.69
7006,RHOG,Rhong Khen International Bhd,latitude-tree-holdings-bhd,1.26
7007,ARKS,ARK Resources,ark-resources-bhd,0.245
7010,PTTY,PTT Synergy Bhd,grand-hoover-bhd,1.04
7013,HUBE,HUBLine,hubline-bhd,0.04
7014,YLIH,YLI Holdings Bhd,yli-holdings-bhd,0.36
7016,CHRB,Chuan Huat Res,chuan-huat-resources-bhd,0.44
7017,KOMK,Komarkcorp Bhd,komarkcorp-bhd,0.045
7018,CMEG,CME,cme-group-bhd,0.025
7020,ASTE,Asteel Bhd,ykgi-holdings-bhd,0.115
7022,GNIC,Globetronics Tech,globetronics-tech-bhd,1.6
7025,WLAN,Woodlandor Holdings Bhd,woodlandor-holdings-bhd,0.795
7028,ZCON,ZECON,zecon-bhd,0.39
7029,MSTP,Master Pack,master-pack-group-bhd,2.64
7031,AMTH,Amtel Holdings Bhd,amtel-holdings-bhd,0.605
7033,KHLH,Kumpulan H L High Tech,kumpulan-h-l-high-tech,0.89
7034,TGIB,Thong Guan Industries Bhd,thong-guan-industries-bhd,2.12
7035,CCKH,CCK Consolidated Holdings,cck-consolidated-holdings,0.72
7036,BRNL,Borneo Oil,borneo-oil-bhd,0.015
7043,JADE,Jade Marvel Bhd,jmr-conglomeration-bhd,0.185
7045,SCES,Scomi Energy Services Bhd,scomi-energy-services-bhd,0.005
7047,FAJA,Fajarbaru Builder,fajarbaru-builder-group-bhd,0.29
7048,ATLA,Atlan,atlan-holdings-bhd,2.88
7050,WENG,Wong Engineering Corp,wong-engineering-corp,0.36
7052,PDNI,Padini,padini-holdings-bhd,3.9
7053,SCHB,See Hup Consolidated Bhd,see-hup-consolidated-bhd,0.99
7054,AASB,Astral Asia,astral-asia-bhd,0.12
7055,PLBE,PLB Engineering,plb-engineering-bhd,1.06
7060,NHFH,New Hoong Fatt,new-hoong-fatt-holdings-bhd,2.79
7062,KHIN,Khind,khind-holdings-bhd,2.67
7066,YONG,Yong Tai,yong-tai-bhd,0.43
7066PA,YONGq,Yong Tai Pref,yong-tai-bhd-pref,0.09
7070,VIZI,Vizione Holdings,astral-supreme-bhd,0.045
7071,OCRG,OCR,takaso-resources-bhd,0.075
7071PA,OCRGq,OCR Bhd,oc-resources-bhd,0.015
7073,SCER,Seacera Group Bhd,seacera-group-bhd,0.21
7076,CBIP,CB Industrial Product,cb-industrial-product-holding,1.1
7077,KERA,Kerjaya Prospek Property Bhd,gsb-group-bhd,0.675
7078,AZRB,Ahmad Zaki Res,ahmad-zaki-resources-bhd,0.24
7079,TWLH,TWL Holdings Bhd,tiger-synergy-bhd,0.035
7080,PMJU,Permaju Industries Bhd,permaju-industries-bhd,0.045
7081,PHMA,Pharmaniaga Bhd,pharmaniaga-bhd,0.39
7082,MAEQ,M A Equity Holdings Bhd,syf-resources-bhd,0.26
7083,ANRE,Analabs Resources,analabs-resources-bhd,1.37
7084,QRES,QL Resources,ql-resources-bhd,5.42
7085,LTKM,LTKM,ltkm-bhd,1.48
7086,ABEL,Able,ablegroup-bhd,0.12
7087,MATE,Magni Tech Ind,magni-tech-industries-bhd,1.89
7088,PHUA,Poh Huat Resources,poh-huat-resources-holdings,1.3
7089,LHEN,Lii Hen Industries,lii-hen-industries-bhd,0.84
7090,APER,Apex Healthcare,apex-healthcare-bhd,2.48
7091,UMEC,Unimech Group Bhd,unimech-group-bhd,1.62
7094,ESAN,Eurospan,eurospan-holdings-bhd,1.15
7095,PIEN,PIE Industrial Bhd,pie-industrial-bhd,2.81
7096,JOEH,Joe Holding Bhd,gpa-holdings-bhd,0.015
7097,TWHB,Ta Win Holdings Bhd,ta-win-holdings-bhd,0.04
7099,MAYU,Mayu Global Bhd,smpc-corporation-bhd,0.29
7100,UCHI,Uchi Technologies Bhd,uchi-technologies-bhd,3.5
7103,SPTZ,Spritzer,spritzer-bhd,1.44
7105,HCKC,HCK Capital,hck-capital-group-bhd,2.13
7106,SUPM,Supermax Corp,supermax-corporation-bhd,0.82
7107,OFIH,Oriental Food Ind,oriental-food-industries-hold,1.08
7108,PTRD,Perdana Petroleum,perdana-petroleum,0.165
7113,TPGC,Top Glove Corp,top-glove-corporation-bhd,0.88
7114,DNCE,Dnonce Tech,dnonce-tech-bhd,0.14
7115,SKBC,SKB Shutters Corporation Bhd,skb-shutters-corporation-bhd,0.345
7117,CJCE,CJ Century Logistics,century-logistics-holdings-bhd,0.435
7120,AXTE,Axteria Group Bhd,acoustech-bhd,0.17
7121,XLHO,XL Holdings Bhd,xian-leng-holdings-bhd,0.845
7123,PWPB,Priceworth International,priceworth-international,0.155
7128,CRSM,CAM Resources,cam-resources-bhd,0.4
7129,AFCB,Asia File Corp,asia-file-corporation-bhd,1.82
7130,RENE,Reneuco Bhd,kumpulan-powernet-bhd,0.22
7131,ACME,Acme,acme-holdings-bhd,0.205
7132,SMBH,SMISoration Bhd,smis-corporation-bhd,0.8
7133,UULI,United U Li Corporation,united-u-li-corporation,1.0
7134,PWFC,PW Consolidated,pw-consolidated-bhd,0.735
7137,UMSH,UMS Holdings Bhd,ums-holdings-bhd,1.76
7139,NICH,Niche Capital Emas,niche-capital-emas-holdings,0.155
7140,OKAC,Oka Corporation Bhd,oka-corporation-bhd,0.66
7145,AGES,Ageson Bhd,prinsiptek-corporation-bhd,0.03
7146,AEMU,AE Multi,ae-multi-holdings-bhd,0.015
7148,DUOP,Duopharma Biotech,ccm-duopharma-biotech-bhd,1.31
7149,ENGH,Eng Kah Corp,eng-kah-corporation-bhd,0.4
7152,JAYC,Jaycorp,jaycorp-bhd,0.695
7153,KRIB,Kossan Rubber Ind,kossan-rubber-industries-bhd,1.37
7154,CLAS,Classita Holdings Bhd,caely-holdings-bhd,0.15
7155,SKPR,SKP Resources Bhd,skp-resources-bhd,0.915
7157,CYLC,CYL Corp,cyl-corporation-bhd,0.525
7160,PMAS,Pentamaster Corp,pentamaster-corporation-bhd,5.29
7161,KREJ,Kerjaya Prospek,fututech-bhd,1.1
7162,ATNO,Astino,astino-bhd,0.515
7163,PJSB,PJBumi Bhd,pjbumi-bhd,0.97
7164,KNMP,KNM Group Bhd,knm-group-bhd,0.08
7165,CSHA,CSH Alliance Bhd,spring-gallery-bhd,0.04
7167,ABLE,Able Global,johore-tin-bhd,1.28
7168,PRGH,Prg,prg-holdings-bhd,0.215
7169,DOMN,Dominant Enterprise,dominant-enterprise-bhd,0.745
7170,LFEC,LFE Corp,lfe-corporation-bhd,0.145
7172,PMBT,PMB Technology Bhd,pmb-technology-bhd,3.79
7173,TOYO,Toyo Ventures Holdings Bhd,toyo-ink-group-bhd,1.34
7174,CABC,CAB Cakaran Corp,cab-cakaran-corporation-bhd,0.655
7176,TPCP,TPC Plus,tpc-plus-bhd,0.31
7178,YSPS,YSP Southeast Asia,ysp-southeast-asia-holding-bhd,2.47
7179,LAGE,Lagenda Properties Bhd,d.b.e.-gurney-resources-bhd,1.17
7180,SKOU,Sern Kou Resources,sern-kou-resources-bhd,0.595
7181,ARBB,Arb,aturmaju-resources-bhd,0.095
7183,IQZA,Iqzan Holding,ire-tex-corporation-bhd,0.025
7184,GLOA,G3 Global,yen-global-bhd,0.025
7186,SWSB,SWS Capital,sws-capital-bhd,0.255
7187,CHIN,Chin Hin Property,boon-koon-group-bhd,1.0
7188,BTMR,BTM Resources,btm-resources-bhd,0.095
